date,daily confirmed
1월 20일,1
1월 24일,1
1월 26일,1
1월 27일,1
1월 30일,1
1월 31일,2
2월 1일,5
2월 2일,1
2월 4일,3
2월 5일,1
2월 6일,3
2월 7일,4
2월 9일,1
2월 10일,3
2월 11일,3
2월 12일,1
2월 15일,1
2월 16일,1
2월 17일,1
2월 18일,1
2월 19일,1
2월 20일,20
2월 21일,53
2월 22일,100
2월 23일,229
2월 24일,169
2월 25일,231
2월 26일,144
2월 27일,284
2월 28일,505
2월 29일,571
3월 1일,813
3월 2일,"1,062"
3월 3일,600
3월 4일,516
3월 5일,438
3월 6일,518
3월 7일,483
3월 8일,367
3월 9일,248
3월 10일,131
3월 11일,242
3월 12일,114
3월 13일,110
3월 14일,107
3월 15일,76
3월 16일,74
3월 17일,84
3월 18일,93
3월 19일,152
3월 20일,87
3월 21일,147
3월 22일,98
3월 23일,64
3월 24일,76
3월 25일,100
3월 26일,104
3월 27일,91
3월 28일,146
3월 29일,105
3월 30일,78
3월 31일,125
4월 1일,101
4월 2일,89
4월 3일,86
4월 4일,94
4월 5일,81
4월 6일,47
4월 7일,47
4월 8일,53
4월 9일,39
4월 10일,27
4월 11일,30
4월 12일,32
4월 13일,25
4월 14일,27
4월 15일,27
4월 16일,22
4월 17일,22
4월 18일,18
4월 19일,8
4월 20일,13
4월 21일,9
4월 22일,11
4월 23일,8
4월 24일,6
4월 25일,10
4월 26일,10
4월 27일,10
4월 28일,14
4월 29일,9
4월 30일,4
5월 1일,9
5월 2일,6
5월 3일,13
5월 4일,8
5월 5일,3
5월 6일,2
5월 7일,4
5월 8일,12
5월 9일,18
5월 10일,34
5월 11일,35
5월 12일,27
5월 13일,26
5월 14일,29
5월 15일,27
5월 16일,19
5월 17일,13
5월 18일,15
5월 19일,13
5월 20일,32
5월 21일,12
5월 22일,20
5월 23일,23
5월 24일,25
5월 25일,16
5월 26일,19
5월 27일,40
5월 28일,79
5월 29일,58
5월 30일,39
5월 31일,27
6월 1일,35
6월 2일,38
6월 3일,49
6월 4일,39
6월 5일,39
6월 6일,51
6월 7일,57
6월 8일,38
6월 9일,38
6월 10일,50
6월 11일,45
6월 12일,55
6월 13일,49
6월 14일,33
6월 15일,37
6월 16일,34
6월 17일,43
6월 18일,59
6월 19일,49
6월 20일,67
6월 21일,48
6월 22일,17
6월 23일,46
6월 24일,51
6월 25일,28
6월 26일,39
6월 27일,51
6월 28일,62
6월 29일,42
6월 30일,42
7월 1일,51
7월 2일,54
7월 3일,63
7월 4일,63
7월 5일,59
7월 6일,48
7월 7일,44
7월 8일,62
7월 9일,50
7월 10일,45
7월 11일,35
7월 12일,44
